""	"OBJECTID"	"ULAND"	"UREGBEZ"	"UKREIS"	"UGEMEINDE"	"UJAHR"	"UMONAT"	"USTUNDE"	"UWOCHENTAG"	"UKATEGORIE"	"UART"	"UTYP1"	"ULICHTVERH"	"IstRad"	"IstPKW"	"IstFuss"	"IstKrad"	"IstGkfz"	"IstSonstig"	"LINREFX"	"LINREFY"	"XGCSWGS84"	"YGCSWGS84"	"STRZUSTAND"	"geometry"
"4895"	202289	"11"	"0"	"03"	"003"	"2019"	"12"	"07"	"2"	"2"	"5"	"3"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	800812.669423	5833502.98539	13.439369038	52.568225548	"1"	c(800812.669423291, 5833502.98538769, 0.148499999995693)
"4896"	202290	"11"	"0"	"04"	"004"	"2019"	"12"	"07"	"2"	"3"	"5"	"3"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	793378.209903	5821960.19058	13.319816052	52.468807438	"0"	c(793378.209903423, 5821960.19057808, 0.0644999999931315)
"4897"	202291	"11"	"0"	"08"	"008"	"2019"	"12"	"06"	"2"	"3"	"5"	"3"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	801396.721515	5824766.87578	13.440040843	52.489599921	"0"	c(801396.721515143, 5824766.87578434, 0.00479999999515712)
"4898"	202292	"11"	"0"	"04"	"004"	"2019"	"12"	"13"	"3"	"3"	"5"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	793018.488238	5824224.46425	13.31652549	52.489299057	"0"	c(793018.488237664, 5824224.46424615, 0.0434999999997672)
"4899"	202293	"11"	"0"	"08"	"008"	"2019"	"12"	"06"	"2"	"3"	"5"	"3"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	802116.759939	5823637.62712	13.449589973	52.479080371	"0"	c(802116.759939009, 5823637.62712149, 0.0100999999995111)
"4900"	202295	"11"	"0"	"09"	"009"	"2019"	"12"	"06"	"2"	"3"	"5"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"1"	809660.849134	5821507.81037	13.558345875	52.455768392	"1"	c(809660.849133993, 5821507.81036559, 0.00569999999424908)
"4901"	202297	"11"	"0"	"02"	"002"	"2019"	"12"	"12"	"3"	"3"	"0"	"2"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	797766.018547	5826038.60957	13.387863163	52.502992001	"0"	c(797766.01854652, 5826038.60957296, 0.00460000000020955)
"4902"	202302	"11"	"0"	"11"	"011"	"2019"	"12"	"11"	"3"	"3"	"5"	"3"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	806133.501874	5826708.19293	13.511371944	52.504363143	"0"	c(806133.501873803, 5826708.1929323, 0.00729999999748543)
"4903"	202309	"11"	"0"	"09"	"009"	"2019"	"12"	"09"	"3"	"3"	"5"	"3"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	807475.51703	5817763.67443	13.522841718	52.423446227	"1"	c(807475.517030198, 5817763.67442632, 0.432700000004843)
"4904"	202325	"11"	"0"	"10"	"010"	"2019"	"12"	"06"	"3"	"3"	"4"	"6"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	810803.000146	5827999.8072	13.581153325	52.513298236	"1"	c(810803.000145632, 5827999.80720264, 0.0390000000043074)
"4905"	202341	"11"	"0"	"04"	"004"	"2019"	"12"	"21"	"2"	"2"	"0"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	788237.127586	5827767.5039	13.249369969	52.52360967	"1"	c(788237.127586118, 5827767.50390014, 0.242199999993318)
"4906"	202346	"11"	"0"	"02"	"002"	"2019"	"12"	"20"	"2"	"3"	"0"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	798763.192786	5824008.52845	13.400689975	52.484249969	"1"	c(798763.192786264, 5824008.52845061, 0.0675999999948544)
"4907"	202349	"11"	"0"	"04"	"004"	"2019"	"12"	"19"	"2"	"3"	"5"	"7"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	794367.244667	5825669.28088	13.337609373	52.501525414	"1"	c(794367.244666955, 5825669.28087762, 0.286200000002282)
"4908"	202354	"11"	"0"	"04"	"004"	"2019"	"12"	"16"	"2"	"3"	"3"	"6"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	793650.079628	5826067.46568	13.327425642	52.505481369	"0"	c(793650.079627959, 5826067.46568205, 1.41559999999299)
"4909"	202356	"11"	"0"	"04"	"004"	"2019"	"12"	"09"	"7"	"3"	"5"	"2"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	792667.578439	5823054.80894	13.310345113	52.47900162	"1"	c(792667.578439431, 5823054.80893969, 1.64629999999306)
"4910"	202362	"11"	"0"	"09"	"009"	"2019"	"12"	"05"	"2"	"3"	"5"	"3"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	807641.351539	5819358.64427	13.526740094	52.437647524	"1"	c(807641.351539054, 5819358.64427108, 0.407399999996414)
"4911"	202364	"11"	"0"	"01"	"001"	"2019"	"12"	"18"	"2"	"3"	"3"	"6"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	794889.21554	5831280.14025	13.350252743	52.551540771	"1"	c(794889.215539527, 5831280.1402524, 1.67949999999837)
