"","id","name","year","AI1303","AI1302","AI1304","AI1305","VER001","VER002","VER005","VER056"
"252",4,"Bremen",2014,132.9,64.9,1.8,595.6,4281,3341,807,940
"253",4,"Bremen",2015,122.5,60.1,2.5,602.7,4009,3367,494,642
"254",4,"Bremen",2016,113.9,56.3,1.9,565.1,3803,3187,449,616
"255",4,"Bremen",2018,119.8,59.2,0.9,602.9,4040,3395,0,645
"256",4,"Bremen",2017,NA,57.8,1.9,576.3,3929,3241,499,688
"257",4,"Bremen",1996,NA,NA,NA,NA,3973,3096,565,877
"258",4,"Bremen",1997,NA,NA,NA,NA,4229,3373,542,856
"259",4,"Bremen",1998,NA,NA,NA,NA,4208,3352,557,856
"260",4,"Bremen",1999,NA,NA,NA,NA,4476,3594,613,882
"261",4,"Bremen",2001,NA,NA,NA,NA,4133,3352,562,781
"262",4,"Bremen",2002,NA,NA,NA,NA,4071,3383,506,688
"263",4,"Bremen",2003,NA,NA,NA,NA,3831,3147,455,684
"264",4,"Bremen",2004,NA,NA,NA,NA,3710,3119,421,591
"265",5,"Nordrhein-Westfalen",1995,105.9,59.7,7.6,558.4,106548,77849,22098,28699
"266",5,"Nordrhein-Westfalen",2000,94.6,57.7,5.9,527.7,103812,74632,24075,29180
"267",5,"Nordrhein-Westfalen",2005,82,51.9,4.8,460.5,93797,67033,22597,26764
"268",5,"Nordrhein-Westfalen",2006,78.8,50.5,4.1,452.7,91081,65297,21841,25784
"269",5,"Nordrhein-Westfalen",2007,92.1,52.6,4.1,472.9,94735,68190,22275,26545
"270",5,"Nordrhein-Westfalen",2008,86.6,49.8,3.9,446.1,89391,64515,20722,24876
"271",5,"Nordrhein-Westfalen",2009,83.2,48.5,3.5,439.5,86727,63209,19659,23518
"272",5,"Nordrhein-Westfalen",2010,76.2,45.1,3.1,408.9,80562,58130,18690,22432
"273",5,"Nordrhein-Westfalen",2011,77,47.1,3.6,444.7,82615,62055,16772,20560
"274",5,"Nordrhein-Westfalen",2012,73.3,45.3,3,427.4,79572,59658,16119,19914
"275",5,"Nordrhein-Westfalen",2013,69.1,43.2,2.7,410.6,75785,57217,14912,18568
"276",5,"Nordrhein-Westfalen",2014,66.4,42,3,437.1,73980,60472,10009,13508
"277",5,"Nordrhein-Westfalen",2015,63.9,40.8,2.9,429.6,72356,60131,8744,12225
"278",5,"Nordrhein-Westfalen",2016,66.3,42.8,2.9,442.3,76540,62055,10868,14485
"279",5,"Nordrhein-Westfalen",2018,66,43.8,2.7,444.2,78472,62734,0,15738
"280",5,"Nordrhein-Westfalen",2017,NA,42.8,2.7,432.2,76579,60389,12437,16190
"281",5,"Nordrhein-Westfalen",1996,NA,NA,NA,NA,100557,73085,21072,27472
"282",5,"Nordrhein-Westfalen",1997,NA,NA,NA,NA,102555,75510,20841,27045
"283",5,"Nordrhein-Westfalen",1998,NA,NA,NA,NA,102135,74392,22081,27743
"284",5,"Nordrhein-Westfalen",1999,NA,NA,NA,NA,106740,78181,23111,28559
"285",5,"Nordrhein-Westfalen",2001,NA,NA,NA,NA,102789,73348,24403,29441
"286",5,"Nordrhein-Westfalen",2002,NA,NA,NA,NA,98994,70287,23918,28707
"287",5,"Nordrhein-Westfalen",2003,NA,NA,NA,NA,97234,69904,22645,27330
"288",5,"Nordrhein-Westfalen",2004,NA,NA,NA,NA,95948,67929,23665,28019
"289",6,"Hessen",1995,105.9,65.9,10.4,612.5,39524,27200,10100,12324
"290",6,"Hessen",2000,90.6,61.2,8.9,599.7,37090,26988,8184,10102
"291",6,"Hessen",2005,79,55.4,6,544.7,33750,24843,8073,8907
"292",6,"Hessen",2006,79.1,55.7,6.2,529.1,33846,24258,8062,9588
"293",6,"Hessen",2007,89.6,56.9,6.1,535.8,34560,24745,8233,9815
"294",6,"Hessen",2008,82.8,52.7,5.2,495.7,31985,23139,7329,8846
"295",6,"Hessen",2009,80.2,51.6,5.1,491.4,31311,22687,7212,8624
"296",6,"Hessen",2010,75.1,49,4.1,459.6,29737,21075,7295,8662
"297",6,"Hessen",2011,76.6,51.5,4.4,497.2,30826,22461,7028,8365
"298",6,"Hessen",2012,73.3,49.7,4.6,477.9,29823,21609,6894,8214
"299",6,"Hessen",2013,70.6,48.1,3.6,456.2,28979,20522,7190,8457
"300",6,"Hessen",2014,69.9,47.9,3.7,463.9,29059,21220,6615,7839
"301",6,"Hessen",2015,68.1,46.9,3.9,458.1,28776,21157,6451,7619
"302",6,"Hessen",2016,68.3,47.4,3.7,453,29377,21314,6810,8063
"303",6,"Hessen",2018,68.4,48.5,3.8,452.6,30329,21515,0,8814
"304",6,"Hessen",2017,NA,49.2,3.4,453.2,30660,21120,8353,9540
"305",6,"Hessen",1996,NA,NA,NA,NA,36248,25532,8427,10716
"306",6,"Hessen",1997,NA,NA,NA,NA,36108,26210,7743,9898
"307",6,"Hessen",1998,NA,NA,NA,NA,35932,25975,8051,9957
"308",6,"Hessen",1999,NA,NA,NA,NA,38001,27650,8359,10351
"309",6,"Hessen",2001,NA,NA,NA,NA,36999,26953,8172,10046
"310",6,"Hessen",2002,NA,NA,NA,NA,36525,26596,8034,9929
"311",6,"Hessen",2003,NA,NA,NA,NA,35764,26044,7987,9720
"312",6,"Hessen",2004,NA,NA,NA,NA,34867,25315,8079,9552
"313",7,"Rheinland-Pfalz",1995,111.1,70.4,10.8,602,27910,17953,8642,9957
"314",7,"Rheinland-Pfalz",2000,98.1,68.6,9,623.8,27647,18934,7219,8713
"315",7,"Rheinland-Pfalz",2005,90.1,65.1,7,554,26431,17156,8241,9275
"316",7,"Rheinland-Pfalz",2006,82.9,60.8,6.6,516.5,24669,16166,7607,8503
"317",7,"Rheinland-Pfalz",2007,94,61.7,5.4,531.8,24981,16607,7496,8374
"318",7,"Rheinland-Pfalz",2008,90.6,59.9,5.6,516.4,24208,15966,7281,8242
"319",7,"Rheinland-Pfalz",2009,86.3,58.2,5.5,502.3,23405,15512,6925,7893
"320",7,"Rheinland-Pfalz",2010,82.2,56.5,5.1,478.9,22626,14746,6967,7880
